Year,Ryiadh MA,global MA
1852,23.07375,8.045
1853,23.0975,8.032
1854,24.25625,8.088
1855,24.76875,8.114
1856,24.74666667,8.059
1857,24.698,8.026
1858,24.743,8.038
1859,24.758,8.065
1860,24.818,8.071
1861,24.728,8.038
1862,24.62,7.984
1863,24.555,7.991
1864,24.586,7.968
1865,24.617,7.975
1866,24.652,8.004
1867,24.748,8.072
1868,24.747,8.087
1869,24.782,8.105
1870,24.79,8.129
1871,24.85,8.156
1872,24.96,8.219
1873,25.056,8.243
1874,25.051,8.288
1875,24.971,8.256
1876,24.968,8.235
1877,24.993,8.245
1878,25.044,8.303
1879,25.038,8.277
1880,25.016,8.269
1881,25.106,8.284
1882,25.085,8.278
1883,25.08,8.241
1884,25.062,8.175
1885,25.117,8.181
1886,25.126,8.168
1887,25.06,8.105
1888,25.022,8.031
1889,25.05,8.046
1890,25.077,8.031
1891,25.053,8.006
1892,25.109,8
1893,25.109,8.008
1894,25.095,8.047
1895,25.066,8.07
1896,25.056,8.096
1897,25.061,8.134
1898,25.036,8.143
1899,24.996,8.151
1900,25.018,8.204
1901,25.034,8.256
1902,25.037,8.279
1903,24.982,8.295
1904,25.023,8.288
1905,25.041,8.296
1906,25.038,8.313
1907,24.996,8.279
1908,25.003,8.28
1909,25.048,8.258
1910,24.994,8.23
1911,24.863,8.194
1912,24.834,8.181
1913,24.833,8.189
1914,24.82,8.239
1915,24.871,8.275
1916,24.871,8.26
1917,24.93,8.267
1918,24.901,8.261
1919,24.883,8.281
1920,24.902,8.295
1921,24.962,8.334
1922,25.001,8.358
1923,25.048,8.37
1924,25.123,8.362
1925,25.085,8.356
1926,25.119,8.406
1927,25.145,8.456
1928,25.218,8.506
1929,25.215,8.492
1930,25.26,8.519
1931,25.314,8.534
1932,25.275,8.564
1933,25.232,8.556
1934,25.16,8.568
1935,25.221,8.567
1936,25.217,8.549
1937,25.196,8.567
1938,25.168,8.59
1939,25.148,8.642
1940,25.16,8.655
1941,25.159,8.66
1942,25.212,8.662
1943,25.241,8.704
1944,25.304,8.726
1945,25.273,8.732
1946,25.307,8.745
1947,25.399,8.755
1948,25.373,8.744
1949,25.339,8.727
1950,25.286,8.688
1951,25.359,8.674
1952,25.382,8.665
1953,25.437,8.676
1954,25.457,8.647
1955,25.46,8.652
1956,25.413,8.612
1957,25.282,8.605
1958,25.361,8.607
1959,25.293,8.621
1960,25.362,8.642
1961,25.264,8.659
1962,25.302,8.67
1963,25.305,8.669
1964,25.239,8.654
1965,25.265,8.644
1966,25.379,8.676
1967,25.397,8.673
1968,25.354,8.648
1969,25.545,8.635
1970,25.562,8.647
1971,25.543,8.627
1972,25.407,8.602
1973,25.413,8.611
1974,25.439,8.617
1975,25.384,8.638
1976,25.265,8.613
1977,25.377,8.628
1978,25.451,8.645
1979,25.466,8.658
1980,25.465,8.686
1981,25.567,8.743
1982,25.555,8.757
1983,25.48,8.765
1984,25.445,8.787
1985,25.471,8.779
1986,25.51,8.827
1987,25.548,8.841
1988,25.552,8.892
1989,25.437,8.911
1990,25.424,8.936
1991,25.372,8.937
1992,25.347,8.957
1993,25.404,8.941
1994,25.507,8.976
1995,25.541,9.045
1996,25.633,9.066
1997,25.545,9.087
1998,25.619,9.119
1999,25.806,9.156
2000,25.891,9.153
2001,26.015,9.176
2002,26.222,9.249
2003,26.342,9.315
2004,26.354,9.343
2005,26.417,9.378
2006,26.413,9.427
2007,26.513,9.48
2008,26.461,9.471
2009,26.44,9.493
2010,26.522,9.543
2011,26.495,9.554
2012,26.534,9.548
2013,26.65,9.556
